  0 SNES Function norm 2.515602452189e+00
    0 KSP Residual norm 1.664565202878e+00
    1 KSP Residual norm 7.494355804372e-01
    2 KSP Residual norm 5.499686549489e-01
    3 KSP Residual norm 4.814576951293e-01
    4 KSP Residual norm 4.490834597771e-01
    5 KSP Residual norm 4.282053639869e-01
    6 KSP Residual norm 4.103066303264e-01
    7 KSP Residual norm 3.914416234084e-01
    8 KSP Residual norm 3.694269381381e-01
    9 KSP Residual norm 3.434770640241e-01
   10 KSP Residual norm 3.144068368766e-01
   11 KSP Residual norm 2.843887590486e-01
   12 KSP Residual norm 2.560069367855e-01
   13 KSP Residual norm 2.311850902702e-01
   14 KSP Residual norm 2.106629329868e-01
   15 KSP Residual norm 1.941384707494e-01
   16 KSP Residual norm 1.807516567348e-01
   17 KSP Residual norm 1.695350045405e-01
   18 KSP Residual norm 1.596714043758e-01
   19 KSP Residual norm 1.505917241127e-01
   20 KSP Residual norm 1.419984923537e-01
   21 KSP Residual norm 1.338429419478e-01
   22 KSP Residual norm 1.262382400925e-01
   23 KSP Residual norm 1.193158275980e-01
   24 KSP Residual norm 1.131028192642e-01
   25 KSP Residual norm 1.074892816112e-01
   26 KSP Residual norm 1.022578124245e-01
   27 KSP Residual norm 9.710513286209e-02
   28 KSP Residual norm 9.165223617203e-02
   29 KSP Residual norm 8.557307616830e-02
   30 KSP Residual norm 7.891670923317e-02
   31 KSP Residual norm 7.547692702768e-02
   32 KSP Residual norm 7.206509956971e-02
   33 KSP Residual norm 6.876758882749e-02
   34 KSP Residual norm 6.569878786836e-02
   35 KSP Residual norm 6.285670823653e-02
   36 KSP Residual norm 6.014246595059e-02
   37 KSP Residual norm 5.754349238302e-02
   38 KSP Residual norm 5.496977224516e-02
   39 KSP Residual norm 5.235893303032e-02
   40 KSP Residual norm 4.969422883731e-02
   41 KSP Residual norm 4.693273295791e-02
   42 KSP Residual norm 4.410973987107e-02
   43 KSP Residual norm 4.121282296116e-02
   44 KSP Residual norm 3.829773145962e-02
   45 KSP Residual norm 3.537655178002e-02
   46 KSP Residual norm 3.250505718117e-02
   47 KSP Residual norm 2.970440645710e-02
   48 KSP Residual norm 2.704254177543e-02
   49 KSP Residual norm 2.456306085014e-02
   50 KSP Residual norm 2.233670768471e-02
   51 KSP Residual norm 2.040346119709e-02
   52 KSP Residual norm 1.879771406818e-02
   53 KSP Residual norm 1.750691216007e-02
   54 KSP Residual norm 1.650427596449e-02
   55 KSP Residual norm 1.574092926240e-02
   56 KSP Residual norm 1.513673801428e-02
   57 KSP Residual norm 1.454559374368e-02
   58 KSP Residual norm 1.367529208861e-02
   59 KSP Residual norm 1.190040452870e-02
   60 KSP Residual norm 8.781330085941e-03
   61 KSP Residual norm 7.313884907494e-03
   62 KSP Residual norm 6.720864932398e-03
   63 KSP Residual norm 6.317876002224e-03
   64 KSP Residual norm 5.890947788916e-03
   65 KSP Residual norm 5.435102223112e-03
   66 KSP Residual norm 5.076500705178e-03
   67 KSP Residual norm 4.794105703366e-03
   68 KSP Residual norm 4.524891446375e-03
   69 KSP Residual norm 4.257355876125e-03
   70 KSP Residual norm 3.965997804059e-03
   71 KSP Residual norm 3.672686787169e-03
   72 KSP Residual norm 3.406145507638e-03
   73 KSP Residual norm 3.148192227790e-03
   74 KSP Residual norm 2.913744720525e-03
   75 KSP Residual norm 2.692879248267e-03
   76 KSP Residual norm 2.482706802538e-03
   77 KSP Residual norm 2.292871982910e-03
   78 KSP Residual norm 2.105125458263e-03
   79 KSP Residual norm 1.933106714743e-03
   80 KSP Residual norm 1.772751922229e-03
   81 KSP Residual norm 1.636796994601e-03
   82 KSP Residual norm 1.530795267121e-03
   83 KSP Residual norm 1.447182811533e-03
   84 KSP Residual norm 1.381664891621e-03
   85 KSP Residual norm 1.324077997374e-03
   86 KSP Residual norm 1.273021645398e-03
   87 KSP Residual norm 1.223239217705e-03
   88 KSP Residual norm 1.173966820561e-03
   89 KSP Residual norm 1.125304862034e-03
   90 KSP Residual norm 1.080163031799e-03
   91 KSP Residual norm 1.046044417282e-03
   92 KSP Residual norm 1.014894196254e-03
   93 KSP Residual norm 9.816700332842e-04
   94 KSP Residual norm 9.440954293236e-04
   95 KSP Residual norm 9.062194975605e-04
   96 KSP Residual norm 8.688758896409e-04
   97 KSP Residual norm 8.314607227910e-04
   98 KSP Residual norm 7.905938954354e-04
   99 KSP Residual norm 7.449056425497e-04
  100 KSP Residual norm 6.919616389293e-04
  101 KSP Residual norm 6.366352662847e-04
  102 KSP Residual norm 5.839837089320e-04
  103 KSP Residual norm 5.338085444122e-04
  104 KSP Residual norm 4.908776865939e-04
  105 KSP Residual norm 4.506896861373e-04
  106 KSP Residual norm 4.159247326460e-04
  107 KSP Residual norm 3.852931483085e-04
  108 KSP Residual norm 3.567278687483e-04
  109 KSP Residual norm 3.314307983910e-04
  110 KSP Residual norm 3.063199202692e-04
  111 KSP Residual norm 2.844663506729e-04
  112 KSP Residual norm 2.665788219405e-04
  113 KSP Residual norm 2.510898168251e-04
  114 KSP Residual norm 2.373894268464e-04
  115 KSP Residual norm 2.226482670257e-04
  116 KSP Residual norm 2.067815203965e-04
  117 KSP Residual norm 1.923341369995e-04
  118 KSP Residual norm 1.791210622620e-04
  119 KSP Residual norm 1.642927920318e-04
  120 KSP Residual norm 1.453506811915e-04
  121 KSP Residual norm 1.329091500463e-04
  122 KSP Residual norm 1.249057421094e-04
  123 KSP Residual norm 1.153681311065e-04
  124 KSP Residual norm 1.056723010503e-04
  125 KSP Residual norm 9.842336781396e-05
  126 KSP Residual norm 9.267448201807e-05
