  0 SNES Function norm 2.515602452189e+00
    0 KSP Residual norm 1.645828382822e+00
    1 KSP Residual norm 7.374985020409e-01
    2 KSP Residual norm 5.372804344266e-01
    3 KSP Residual norm 4.689301887820e-01
    4 KSP Residual norm 4.377244408869e-01
    5 KSP Residual norm 4.189027303846e-01
    6 KSP Residual norm 4.019529871071e-01
    7 KSP Residual norm 3.848152614504e-01
    8 KSP Residual norm 3.688400453868e-01
    9 KSP Residual norm 3.511936326606e-01
   10 KSP Residual norm 3.308987880729e-01
   11 KSP Residual norm 3.097043746775e-01
   12 KSP Residual norm 2.865944858136e-01
   13 KSP Residual norm 2.619573860669e-01
   14 KSP Residual norm 2.398961951085e-01
   15 KSP Residual norm 2.204351215327e-01
   16 KSP Residual norm 2.025342973324e-01
   17 KSP Residual norm 1.876384664624e-01
   18 KSP Residual norm 1.765833886259e-01
   19 KSP Residual norm 1.676116736959e-01
   20 KSP Residual norm 1.596500070299e-01
   21 KSP Residual norm 1.523255481968e-01
   22 KSP Residual norm 1.453440372366e-01
   23 KSP Residual norm 1.384433540206e-01
   24 KSP Residual norm 1.318894028832e-01
   25 KSP Residual norm 1.255011125517e-01
   26 KSP Residual norm 1.194196716445e-01
   27 KSP Residual norm 1.139616675849e-01
   28 KSP Residual norm 1.087048325711e-01
   29 KSP Residual norm 1.034987565900e-01
   30 KSP Residual norm 9.840854516275e-02
   31 KSP Residual norm 9.603366539824e-02
   32 KSP Residual norm 9.357500842056e-02
   33 KSP Residual norm 9.120041826309e-02
   34 KSP Residual norm 8.872210312038e-02
   35 KSP Residual norm 8.617374574398e-02
   36 KSP Residual norm 8.347017175959e-02
   37 KSP Residual norm 8.084004901479e-02
   38 KSP Residual norm 7.764932917342e-02
   39 KSP Residual norm 7.407577007782e-02
   40 KSP Residual norm 7.079666022486e-02
   41 KSP Residual norm 6.760285913362e-02
   42 KSP Residual norm 6.429110194030e-02
   43 KSP Residual norm 6.118709401553e-02
   44 KSP Residual norm 5.784811267499e-02
   45 KSP Residual norm 5.404754349227e-02
   46 KSP Residual norm 5.044380390065e-02
